Start,End
2016-06-02 15:00:37.707112,2016-06-02 15:00:38.048132
2016-06-02 15:00:38.564161,2016-06-02 15:00:38.702169
2016-06-02 15:00:38.905181,2016-06-02 15:00:39.091191
2016-06-02 15:00:50.977871,2016-06-02 15:00:58.692312
2016-06-02 15:00:59.105336,2016-06-02 15:00:59.409353
2016-06-02 15:00:59.459356,2016-06-02 15:01:07.554819
2016-06-02 15:01:10.750002,2016-06-02 15:01:10.825006
2016-06-02 15:01:10.865009,2016-06-02 15:01:11.114023
2016-06-02 15:01:11.280032,2016-06-02 15:01:11.328035
2016-06-02 15:01:12.337093,2016-06-02 15:01:12.671112
2016-06-02 15:01:13.140139,2016-06-02 15:01:14.253202
2016-06-02 15:01:15.698285,2016-06-02 15:01:25.146826
2016-06-02 15:01:25.391840,2016-06-02 15:01:25.432842
2016-06-02 15:01:25.486845,2016-06-02 15:01:31.967216
2016-06-02 15:01:32.064221,2016-06-02 15:01:32.190228
